group,outcome,bucket,n,expected_pct,actual_pct,diff_pp,ci_lo_pct,ci_hi_pct,significant
T1,H,0.45-0.50,641,47.31710865380518,47.269890795631824,-0.047217858173354,43.43265800566712,51.139652465617615,False
T1,H,0.50-0.55,474,52.35883953861595,52.320675105485236,-0.03816443313071627,47.82365211002496,56.78038403919269,False
T1,H,0.55-0.60,309,57.351266741211646,63.43042071197411,6.079153970762463,57.92588536548505,68.60511306950569,True
T1,H,0.60-0.65,261,62.61814304727681,63.984674329501914,1.366531282225103,57.99671075304226,69.56693483737858,False
T1,H,0.65-0.70,225,67.31808224703026,75.1111111111111,7.793028864080842,69.07172475524618,80.30740910852684,True
T1,H,0.70-0.75,142,72.30695619977199,78.87323943661971,6.566283236847726,71.4440164906115,84.78136776189257,False
T1,H,0.75-0.80,82,77.17820193474795,84.14634146341463,6.968139528666684,74.7419359703363,90.49449951082902,False
T1,H,0.80-1.00,40,82.94747645169109,90.0,7.05252354830892,76.94792561952612,96.04211124044252,False
USA,H,0.30-0.35,412,32.73389134689054,35.43689320388349,2.7030018569929593,30.972062704247875,40.17079553792895,False
USA,H,0.35-0.40,745,37.704610298279434,37.986577181208055,0.28196688292861927,34.57134626575055,41.525067181365635,False
USA,H,0.40-0.45,1027,42.537656269313075,42.453748782862704,-0.0839074864503686,39.46438343703881,45.49935881007267,False
USA,H,0.45-0.50,1124,47.407238961862234,48.57651245551601,1.1692734936537774,45.664427451177126,51.498294689946235,False
USA,H,0.50-0.55,967,52.5244074706176,55.73940020682523,3.2149927362076336,52.59217067556325,58.84120836381865,True
USA,H,0.55-0.60,786,57.32228171934511,58.269720101781175,0.947438382436061,54.790254976355556,61.66874135911223,False
USA,H,0.60-0.65,479,62.22189443420256,66.17954070981212,3.95764627560955,61.82891850469729,70.27270654169475,False
USA,H,0.65-0.70,239,67.1907928038377,66.52719665271967,-0.6635961511180288,60.324725278594435,72.20676850171338,False
USA,H,0.70-0.75,93,71.96419879203152,77.41935483870968,5.455156046678145,67.93336026404614,84.72995797935337,False
USA,H,0.75-0.80,26,76.73633423913951,84.61538461538461,7.879050376245111,66.46841558168643,93.85006600107053,False
USA,H,0.80-1.00,3,82.75100942023718,100.0,17.248990579762825,43.84939195509823,100.0,False
ARG,D,0.30-0.35,3322,31.644061422504105,32.480433473810955,0.8363720513068496,30.908951921472806,34.09238788977977,False
ARG,D,0.35-0.40,84,35.85078714250442,36.904761904761905,1.0539747622574869,27.36996045974371,47.58495839419337,False
ARG,D,0.40-0.45,1,44.57776715003088,100.0,55.42223284996912,20.654329147389294,100.0,False
ARG,D,0.45-0.50,1,45.152502797100745,100.0,54.847497202899255,20.654329147389294,100.0,False
AUT,D,0.30-0.35,57,30.750562988217713,38.59649122807017,7.845928239852462,27.06253699552471,51.57050355567709,False
AUT,D,0.35-0.40,1,39.295582669999455,100.0,60.70441733000054,20.654329147389294,100.0,False
AUT,D,0.40-0.45,1,42.656984338315894,0.0,-42.656984338315894,0.0,79.34567085261071,False
B1,D,0.30-0.35,13,30.696184866696935,53.84615384615385,23.149968979456908,29.14343243183205,76.79424569851186,False
BRA,D,0.30-0.35,1238,31.1534312431196,30.694668820678512,-0.4587624224410891,28.188396560486318,33.32038201481669,False
BRA,D,0.35-0.40,1,37.38045738045738,100.0,62.619542619542614,20.654329147389294,100.0,False
CHN,D,0.30-0.35,134,30.8405279314995,38.80597014925373,7.965442217754232,30.976736607385458,47.259151542490926,True
CHN,D,0.35-0.40,1,36.88638861097899,100.0,63.11361138902101,20.654329147389294,100.0,False
D1,D,0.30-0.35,52,30.514396142400795,30.76923076923077,0.25483462682997504,19.91456239135352,44.269844932218874,False
D2,D,0.30-0.35,127,30.47380511125669,33.07086614173229,2.5970610304755946,25.49115137349538,41.64468310116711,False
D2,D,0.50-0.55,1,52.748458710209555,0.0,-52.748458710209555,0.0,79.34567085261071,False
DNK,D,0.30-0.35,75,30.590926478402995,37.333333333333336,6.742406854930339,27.25580313531414,48.64524402760493,False
DNK,D,0.35-0.40,1,39.42597629567636,100.0,60.57402370432364,20.654329147389294,100.0,False
E0,D,0.30-0.35,240,30.644018295848753,30.416666666666664,-0.22735162918208762,24.94250619404669,36.50787798978411,False
E1,D,0.30-0.35,523,30.59628381098232,30.592734225621417,-0.0035495853609068817,26.79685814454036,34.67163637069913,False
E2,D,0.30-0.35,148,30.511621694842116,26.351351351351347,-4.160270343490769,19.91696604171264,33.98236062502427,False
E3,D,0.30-0.35,304,30.571723009241953,31.57894736842105,1.0072243591790986,26.61112550123167,37.006527213671056,False
E3,D,0.35-0.40,1,36.74859159289296,100.0,63.251408407107036,20.654329147389294,100.0,False
E3,D,0.40-0.45,1,40.812788667516934,100.0,59.18721133248306,20.654329147389294,100.0,False
EC,D,0.30-0.35,63,30.423695328145715,39.682539682539684,9.258844354393963,28.531728147309305,52.01930593924757,False
F1,D,0.30-0.35,919,30.743964963334236,31.120783460282915,0.37681849694867764,28.211156973797745,34.18759054690352,False
F1,D,0.35-0.40,1,37.075541840905274,100.0,62.92445815909473,20.654329147389294,100.0,False
F1,D,0.45-0.50,1,45.5636301591668,100.0,54.4363698408332,20.654329147389294,100.0,False
F2,D,0.30-0.35,2498,31.22981030798051,34.02722177742194,2.79741146944143,32.19497136645269,35.90852487407669,True
F2,D,0.35-0.40,2,35.41795937529953,0.0,-35.41795937529953,0.0,65.76280471103807,False
F2,D,0.40-0.45,1,42.41124662663961,100.0,57.58875337336039,20.654329147389294,100.0,False
FIN,D,0.30-0.35,239,30.822057591472905,28.451882845188287,-2.3701747462846203,23.107750110040342,34.47777065740642,False
G1,D,0.30-0.35,956,31.077954639101097,33.89121338912134,2.813258750020242,30.960456736606982,36.95091530644679,False
G1,D,0.35-0.40,5,36.36678529327117,60.0,23.63321470672883,23.07199322088371,88.23817688407468,False
G1,D,0.40-0.45,2,40.39366465547219,50.0,9.606335344527805,9.452865480086615,90.54713451991339,False
G1,D,0.50-0.55,1,50.20576131687243,100.0,49.79423868312757,20.654329147389294,100.0,False
G1,D,0.55-0.60,1,59.54306093616055,100.0,40.45693906383945,20.654329147389294,100.0,False
I1,D,0.30-0.35,542,30.798665508390403,32.28782287822878,1.4891573698383787,28.48788629218322,36.33707391605302,False
I1,D,0.35-0.40,13,37.385544606752916,38.46153846153847,1.0759938547855452,17.70944658123682,64.47751902773146,False
I1,D,0.40-0.45,3,43.00192278619686,66.66666666666666,23.664743880469807,20.76549551264879,93.85096847238394,False
I1,D,0.45-0.50,1,46.2935404948672,0.0,-46.2935404948672,0.0,79.34567085261071,False
I1,D,0.50-0.55,1,52.060948546375144,100.0,47.939051453624856,20.654329147389294,100.0,False
I2,D,0.30-0.35,2906,31.047419463522985,34.34273916035788,3.2953196968348974,32.63792414517072,36.0888958989169,True
I2,D,0.35-0.40,7,36.51263199086312,42.857142857142854,6.344510866279735,15.821692226262684,74.95457695909742,False
I2,D,0.40-0.45,6,42.708122631840055,50.0,7.291877368159944,18.761280689940868,81.23871931005912,False
I2,D,0.45-0.50,3,47.26657803575422,66.66666666666666,19.40008863091244,20.76549551264879,93.85096847238394,False
I2,D,0.50-0.55,4,53.397295905068454,50.0,-3.3972959050684537,15.003570882017147,84.99642911798286,False
I2,D,0.55-0.60,3,58.000451357790986,100.0,41.999548642209014,43.84939195509823,100.0,False
I2,D,0.60-0.65,1,61.12622392324789,100.0,38.87377607675211,20.654329147389294,100.0,False
I2,D,0.70-0.75,1,70.97418154571736,100.0,29.02581845428265,20.654329147389294,100.0,False
IRL,D,0.30-0.35,298,30.811626815446253,30.536912751677853,-0.2747140637683998,25.58287772630213,35.98636918996124,False
